Unnamed: 0,Name,z,rho,ang_sep,RA,DEC,cosmo,CreationDate,user,HM_0_500,HM_0_100,HM_100_200,HM_200_300,HM_300_400,HM_400_500,mstars,rvir,rho_rvir,gal_type,z_igmsys,log_rho
2202,J1151+5437_30_930,0.143000900745391,2410.7189478232667,929.5996882829356,178.0573791666667,54.849986944444446,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,1522791489.7977915,,,,0.1425,3.382146581375249
2203,J1151+5437_205_932,0.462532937526702,5617.905855978329,932.0963093747176,177.6505560248,54.3901908689605,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,6123044772.004565,,,,0.46358,3.7495744570849086
2204,J1151+5437_52_933,0.047798201441764,922.3288091210682,932.7457212749364,178.19041666666666,54.78403861111111,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,132090753.83404773,,,,0.04702,2.964885774122872
2205,J1151+5437_186_933,0.300837069749832,4295.508284142585,933.2510711820738,177.78682916666665,54.36814888888889,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,17235209188.976276,,,,0.300837,3.6330145609350275
2206,J1151+5437_53_936,0.453794121742248,5579.8389368380585,935.7482573642536,178.195176159074,54.7817920835762,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,132090753.83404773,,,,0.453794,3.7466216631218074
2207,J1151+5437_90_938,0.448362588882446,5556.161875902049,938.1590597350732,178.28541666666666,54.62690722222222,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,9697403091.398317,,,,0.44979,3.74477489019497
2208,J1151+5437_143_941,0.133349671959877,2299.6963430164155,940.671591714686,178.1084625,54.41816722222222,Planck15,2021-Mar-28,jnburchett,hit,miss,miss,miss,miss,hit,6731440648.753167,,,,0.136303,3.361670494600804
2209,J1151+5437_268_944,0.227388069033622,3549.268800301744,944.3119567763237,177.38257916666666,54.61530694444445,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,16777257848.927866,,,,0.227388,3.550138891448786
2210,J1151+5437_298_947,0.346059083938598,4789.602492175199,947.3592791359064,177.430875,54.74672305555556,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,412367565.98319954,,,,0.347478,3.680299471114256
2211,J1151+5437_275_948,0.066655986011028,1250.6778783725522,947.6026976480962,177.382138858525,54.6485298696697,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,246760189.64315408,,,,0.067643,3.0971454682391024
2212,J1151+5437_187_948,0.078411437571048,1452.210922538785,948.341316417719,177.784018665804,54.3641132448976,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,17235209188.976276,,,,0.076326,3.1620296988999566
2213,J1151+5437_89_950,0.447338432073593,5620.740946149867,950.2995918622038,178.291234849632,54.6282194626425,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,9697403091.398317,,,,0.444426,3.7497935695928453
2214,J1151+5437_97_954,0.201241135597229,3263.99580267835,953.9067669366408,178.28966666666665,54.59491361111111,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,4428053809.34187,,,,0.20152,3.5137495916030237
2215,J1151+5437_156_954,0.3598393201828,4946.415454620556,954.0442083102954,178.0183,54.38308722222222,Planck15,2021-Mar-28,jnburchett,hit,miss,miss,miss,miss,miss,16115202493.457792,,,,0.358454,3.6942905904061396
