Name,z,rho,ang_sep,RA,DEC,cosmo,CreationDate,user,HM_0_500,HM_0_100,HM_100_200,HM_200_300,HM_300_400,HM_400_500,mstars,rvir,rho_rvir,gal_type,z_igmsys
J1632+3737_17_3483,0.101582124829292,7409.126732626144,3482.84793509686,248.362184284872,38.5561798056612,Planck15,2021-Mar-08,jnburchett,miss,miss,miss,miss,miss,miss,9.140855909213286,,,,0.100228
J1632+3737_202_1828,0.198368549346923,7411.6295579197185,1827.9515420933567,247.769978697913,37.1582424847533,Planck15,2021-Mar-08,jnburchett,miss,miss,miss,miss,miss,miss,9.422777619457072,,,,0.197259
J1151+5437_175_1066,0.354474008083343,7412.919009863365,1065.8135962640836,177.880705619308,54.3309754271414,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,6.2505154859850744,,,,0.352261
J1151+5437_11_1603,0.228137999773025,7416.430092282174,1602.668752208423,177.98061666666666,55.06310277777777,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,10.200008687630078,,,,0.228138
J0751+2919_214_893,0.432202875614166,7417.158215925336,893.1060147015553,117.64120833333334,29.12228,Planck15,2021-Mar-09,jnburchett,hit,hit,miss,miss,miss,miss,10.493127474617772,,,,0.431679
J1151+5437_218_880,0.43955847620964,7421.491722871296,880.4247992221316,177.57508333333334,54.433456388888885,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,9.477920033784262,,,,0.439558
J0751+2919_261_1140,0.329719483852386,7424.2220878673725,1140.038215206415,117.4427875,29.27676972222222,Planck15,2021-Mar-09,jnburchett,miss,miss,miss,miss,miss,miss,10.220249140535367,,,,0.329719
J1409+2618_302_1049,0.361626356840133,7429.021240914012,1049.0059489807068,212.073125,26.45932,Planck15,2021-Mar-08,jnburchett,miss,miss,miss,miss,miss,miss,9.924209887587494,,,,0.363827
J1409+2618_359_1258,0.296697795391082,7433.935811742206,1257.5431011312348,212.34154583333336,26.6551075,Planck15,2021-Mar-08,jnburchett,hit,miss,hit,miss,miss,miss,10.064463552956049,,,,0.29729
J1151+5437_55_1837,0.197935029864311,7434.0862670939705,1837.302207916099,178.565817834255,54.9137242673047,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,9.754104724323698,,,,0.1972
J1208+4540_250_2085,0.17333772778511,7434.884403481014,2085.156714915017,181.467288268027,45.4724929993026,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,8.843119538888166,,,,0.173321
J1632+3737_357_1211,0.309234172105789,7438.657597849556,1211.330179061139,247.9848,37.96666722222223,Planck15,2021-Mar-08,jnburchett,miss,miss,miss,miss,miss,miss,9.668541505175488,,,,0.305395
J1632+3737_269_1570,0.233882308006286,7438.996914039011,1570.3935764465991,247.45405,37.61879361111111,Planck15,2021-Mar-08,jnburchett,miss,miss,miss,miss,miss,miss,9.984456892913306,,,,0.233882
